id,retreived_at,waiting_days,term_start,term_end,term_days,applications,applications_acc,provisions,provisions_acc,amount,amount_acc
52,2022-06-03,20,2020-03-25,2022-05-14,781,3318992,3318992,3231549,3231549,1386092114000,1386092114000
53,2022-06-03,13,2022-05-15,2022-05-21,7,7422,3326414,7902,3239451,2639571000,1388731685000
54,2022-06-03,6,2022-05-22,2022-05-28,7,5317,3331731,7390,3246841,2515558000,1391247243000
55,2022-06-10,20,2020-03-25,2022-05-21,788,3326930,3326930,3239298,3239298,1388652325000,1388652325000
56,2022-06-10,13,2022-05-22,2022-05-28,7,6756,3333686,7598,3246896,2571068000,1391223393000
57,2022-06-10,6,2022-05-29,2022-06-04,7,6244,3339930,6577,3253473,2206015000,1393429408000
58,2022-06-17,20,2020-03-25,2022-05-28,795,3334021,3334021,3246795,3246795,1391167713000,1391167713000
59,2022-06-17,13,2022-05-29,2022-06-04,7,7580,3341601,6770,3253565,2231915000,1393399628000
60,2022-06-17,6,2022-06-05,2022-06-11,7,5066,3346667,6125,3259690,2090787000,1395490415000
61,2022-06-24,20,2020-03-25,2022-06-04,802,3342152,3342152,3253559,3253559,1393386278000,1393386278000
62,2022-06-24,13,2022-06-05,2022-06-11,7,6203,3348355,6374,3259933,2155697000,1395541975000
63,2022-06-24,6,2022-06-12,2022-06-18,7,5383,3353738,7128,3267061,2586896000,1398128871000
64,2022-07-01,20,2020-03-25,2022-06-11,809,3348642,3348642,3259844,3259844,1395495325000,1395495325000
65,2022-07-01,13,2022-06-12,2022-06-18,7,6450,3355092,7227,3267071,2607016000,1398102341000
66,2022-07-01,6,2022-06-19,2022-06-25,7,5045,3360137,5834,3272905,1974621000,1400076962000
67,2022-07-08,20,2020-03-25,2022-06-18,816,3355466,3355466,3266978,3266978,1398053351000,1398053351000
68,2022-07-08,13,2022-06-19,2022-06-25,7,6073,3361539,5901,3272879,1965721000,1400019072000
69,2022-07-08,6,2022-06-26,2022-07-02,7,5180,3366719,6253,3279132,2219232000,1402238304000
70,2022-07-15,20,2020-03-25,2022-06-25,823,3361753,3361753,3272860,3272860,1400009312000,1400009312000
71,2022-07-15,13,2022-06-26,2022-07-02,7,5827,3367580,6263,3279123,2195082000,1402204394000
72,2022-07-15,6,2022-07-03,2022-07-09,7,5197,3372777,5242,3284365,1823403000,1404027797000
73,2022-07-22,20,2020-03-25,2022-07-02,830,3367871,3367871,3279093,3279093,1402189194000,1402189194000
74,2022-07-22,13,2022-07-03,2022-07-09,7,5829,3373700,5272,3284365,1808743000,1403997937000
75,2022-07-22,6,2022-07-10,2022-07-16,7,4033,3377733,6030,3290395,2252347000,1406250284000
76,2022-07-29,20,2020-03-25,2022-07-09,837,3374071,3374071,3284343,3284343,1403975677000,1403975677000
77,2022-07-29,13,2022-07-10,2022-07-16,7,5261,3379332,6176,3290519,2281787000,1406257464000
78,2022-07-29,6,2022-07-17,2022-07-23,7,3412,3382744,3908,3294427,1362873000,1407620337000
79,2022-08-05,20,2020-03-25,2022-07-16,844,3379611,3379611,3290484,3290484,1406237814000,1406237814000
80,2022-08-05,13,2022-07-17,2022-07-23,7,4237,3383848,4046,3294530,1391303000,1407629117000
81,2022-08-05,6,2022-07-24,2022-07-30,7,4212,3388060,4996,3299526,1762954000,1409392071000
82,2022-08-12,20,2020-03-25,2022-07-23,851,3384169,3384169,3294568,3294568,1407636667000,1407636667000
83,2022-08-12,13,2022-07-24,2022-07-30,7,5259,3389428,5171,3299739,1797234000,1409433901000
84,2022-08-12,6,2022-07-31,2022-08-06,7,5091,3394519,4671,3304410,1549013000,1410982914000
85,2022-08-19,20,2020-03-25,2022-07-30,858,3389665,3389665,3299720,3299720,1409423501000,1409423501000
86,2022-08-19,13,2022-07-31,2022-08-06,7,6154,3395819,4862,3304582,1589213000,1411012714000
87,2022-08-19,6,2022-08-07,2022-08-13,7,3343,3399162,4431,3309013,1509032000,1412521746000
88,2022-08-26,20,2020-03-25,2022-08-06,865,3396240,3396240,3304590,3304590,1411010000000,1411010000000
89,2022-08-26,13,2022-08-07,2022-08-13,7,4610,3400850,4692,3309282,1580000000,1412590000000
90,2022-08-26,6,2022-08-14,2022-08-20,7,4600,3405450,5517,3314799,1940000000,1414530000000
91,2022-09-02,20,2020-03-25,2022-08-13,872,3401252,3401252,3309291,3309291,1412589666000,1412589666000
92,2022-09-02,13,2022-08-13,2022-08-20,8,6111,3407363,5794,3315085,2018822000,1414608488000
93,2022-09-02,6,2022-08-21,2022-08-27,7,4673,3412036,5042,3320127,1626059000,1416234547000
94,2022-09-09,20,2020-03-25,2022-08-20,879,3407688,3407688,3315085,3315085,1414608438000,1414608438000
95,2022-09-09,13,2022-08-21,2022-08-27,7,6019,3413707,5326,3320411,1709259000,1416317697000
96,2022-09-09,6,2022-08-28,2022-09-03,7,5147,3418854,6245,3326656,2155480000,1418473177000
